Random generation test: Pass 
Number of spins: 1000000 
Number generation tests:  
Test	Occurrences	Actual	Expected	Pass/Fail 
0	26531		2.6531	2.63158		Pass 
1	26280		2.628	2.63158		Pass 
2	26442		2.6442	2.63158		Pass 
3	26235		2.6235	2.63158		Pass 
4	26156		2.6156	2.63158		Pass 
5	26451		2.6451	2.63158		Pass 
6	26168		2.6168	2.63158		Pass 
7	26535		2.6535	2.63158		Pass 
8	26550		2.655	2.63158		Pass 
9	26635		2.6635	2.63158		Pass 
10	26504		2.6504	2.63158		Pass 
11	26361		2.6361	2.63158		Pass 
12	26074		2.6074	2.63158		Pass 
13	26309		2.6309	2.63158		Pass 
14	26313		2.6313	2.63158		Pass 
15	26349		2.6349	2.63158		Pass 
16	26585		2.6585	2.63158		Pass 
17	26239		2.6239	2.63158		Pass 
18	26360		2.636	2.63158		Pass 
19	26196		2.6196	2.63158		Pass 
20	26225		2.6225	2.63158		Pass 
21	26371		2.6371	2.63158		Pass 
22	26023		2.6023	2.63158		Pass 
23	26483		2.6483	2.63158		Pass 
24	26028		2.6028	2.63158		Pass 
25	26273		2.6273	2.63158		Pass 
26	26482		2.6482	2.63158		Pass 
27	26226		2.6226	2.63158		Pass 
28	26320		2.632	2.63158		Pass 
29	26205		2.6205	2.63158		Pass 
30	26366		2.6366	2.63158		Pass 
31	26380		2.638	2.63158		Pass 
32	26431		2.6431	2.63158		Pass 
33	26228		2.6228	2.63158		Pass 
34	26281		2.6281	2.63158		Pass 
35	26073		2.6073	2.63158		Pass 
36	26436		2.6436	2.63158		Pass 
37	25896		2.5896	2.63158		Pass 
red  	474531		47.4531	47.3684		Pass 
black	473042		47.3042	47.3684		Pass 
green	52427		5.2427	5.26316		Pass 
even	474531		47.3744	47.3684		Pass 
odd 	473042		47.3829	47.3684		Pass 
not 	52427		5.2427	5.26316		Pass 
Manque 	474531		47.4546	47.3684		Pass 
Passe  	473042		47.3027	47.3684		Pass 
Neither	52427		5.2427	5.26316		Pass 
Overall Test Result: Pass
